Index	Name	Author	FileName	Tags	Dependencies	URL
18	Dynamic Sidebar	Caites	dynamicsidebar_1e649013-e371-9-0qxh.pak		ImpUI (ImprovedUI)	
19	Trade With Anyone	Caites	TradeWithAnyone_64e3f7e5-8157-e330-bf89-c97c52fd8894.pak			https://www.nexusmods.com/baldursgate3/mods/2082
20	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  03 ⋆ UI ⋆ Caites' Better Inventory UI  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_UI_Caites_BetterInventory_218920c5-43d4-4cfc-862a-adde552fa25f.pak			
21	Better Inventory UI	Caites	betterinventoryui_6b585be8-ed7-bplo.pak			
22	AddonBetterInventoryUI	Caites	addonbetterinventoryui_8c7d340-3bzc.pak			https://www.nexusmods.com/baldursgate3/mods/4597
23	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  05 ⋆ UI ⋆ Other  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_UI_Other_a6da7f59-e112-43bf-bdb0-ddfe326f0cc6.pak			
24	Alchemy Better Descriptions	SwissFred	alchemybetterdescription_961fe-ayzk.pak		GustavX	
25	EnhancedWorldTooltips	Noxis	enhancedworldtooltips_b8efd00b-7ugr.pak			
Override	Goon's Immersive Loading Screen Hints	Goonsack	Goon's Immersive Loading Screen Hints_eb9d18c5-a855-4d91-bda2-d38c45020086.pak			https://www.nexusmods.com/baldursgate3/mods/7644
27	Know Your Roll	chris	Wurfanzeige_41210bf5-af86-41dc-9d2f-6d8a655386e5.pak			https://www.nexusmods.com/baldursgate3/mods/24682
28	ProgressionPreview	wtfbengt	ProgressionPreview_26e7658b-ae40-46f2-b032-405e2fb09719.pak			https://www.nexusmods.com/baldursgate3/mods/20193
29	Reaction Points on Hotbar	Goonsack	Reaction Points on Hotbar_1d9e3933-c7fb-4ad2-af44-c8a3e3bf021f.pak			
30	Sensible Mod Info	Nzx	SensibleModInfo_a094bf38-22df-435d-84cd-04f07106caec.pak			https://www.nexusmods.com/baldursgate3/mods/24614
31	Skip Intro	Saigofu	Skip Intro_54f21e4c-1c36-4f04-8ddd-87c49bdb5490.pak			https://www.nexusmods.com/baldursgate3/mods/16665
32	SpellListSorter	wesslen	SpellListSorter_71f4c896-045d-4bb9-b7ad-55f1332b61d2.pak			https://www.nexusmods.com/baldursgate3/mods/9608
33	Target Markers	Pyxel	targetmarkers_9bdf0097-a734-05-djxi.pak		GustavDev	
34	Yet Another UI	Saigofu	Yet Another UI_368dc49c-018b-4374-90b8-90e2d92223d7.pak		GustavDev	https://www.nexusmods.com/baldursgate3/mods/24858
